gene,baseMean,log2FoldChange,pvalue,padj
Rufy2,315.4455086230617,-0.555207858016363,6.0291920189249284e-05,0.00011148379303213047
Tnpo2,1358.219970470469,-0.3314862866532025,6.035407445227851e-05,0.00011158352037799352
Ptdss2,400.05769856242017,-0.49717248370191297,6.070546790216654e-05,0.00011221789749475808
Selenof,4369.186755433418,0.2604445656758986,6.0856039662106466e-05,0.00011248092080248273
Prr11,529.4944917969216,-0.5269358553406669,6.0901561092615626e-05,0.0001125497331887222
Npr1,12.291689713757284,2.7867146530713796,6.100813160786328e-05,0.00011273133384769073
Hamp,19.16712014904839,8.67506120005884,6.103968030565222e-05,0.00011277427800039789
Gm34084,53.97120116881151,-1.2969842592606544,6.110096019712582e-05,0.00011287213305876239
1700067K01Rik,11.107404630392798,-4.213058670457187,6.117601544693713e-05,0.0001129954053172846
Smug1,287.2169636654681,-0.5860568171352607,6.144312985133718e-05,0.00011347333940163957
Wdsub1,214.6390026442813,-0.6651446320620685,6.17183963470291e-05,0.00011396619670991335
Lage3,349.39449728387734,-0.5187055069046919,6.197959076179662e-05,0.00011443293865623331
2310011J03Rik,1263.8834943263728,0.3466667288046331,6.222250948847359e-05,0.00011486581582980288
Zfat,264.2351607561823,0.5918206756982909,6.248704345061671e-05,0.00011533847264055904
Gm23722,12.914612413739007,3.1274440128572953,6.254123813149561e-05,0.00011542280984322522
Bcap29,1475.2574169380398,-0.31376654053333664,6.268161517772363e-05,0.00011566615612050305
Polr1d,1392.8108882716651,0.3397452589222036,6.282375142141384e-05,0.0001159126820435329
Faf1,856.5308234889054,-0.42455635798147767,6.320685823567077e-05,0.00011660368220861579
Cdc42se2,3695.3617900318154,-0.27089273016376386,6.34157060305904e-05,0.00011697306613116376
Atp6v0e,3228.0920952686897,0.25371712698920174,6.418156926755597e-05,0.00011836964962470173
